employee_id,name,age,Salary,join_date,department
101,Asha,29.0,55000,2021-03-15,HR
102,Ravi,,62000,2019-07-01,IT
103,Neha,34.0,58000,2020-11-23,Sales
104,Kiran,41.0,71000,2018-01-30,Finance
104,Kiran,41.0,71000,2018-01-30,Finance
105,,27.0,49000,2022-05-10,IT
106,Priya,30.0,65000,2020-08-12,HR
107,Amit,35.0,60000,2019-12-20,Sales
108,Sneha,,54000,2021-06-18,IT
109,Rahul,28.0,,2022-02-14,Marketing
110,Pooja,32.0,72000,2017-09-09,Finance
111,Vikas,45.0,80000,2016-04-25,HR
112,Anjali,26.0,51000,2023-01-11,Sales
113,,31.0,56000,2021-08-05,IT
114,Rohan,38.0,67000,2018-10-30,Marketing
115,Meena,,59000,2020-02-28,Finance
116,Asha,29.0,55000,2021-03-15,HR
117,Deepak,40.0,76000,2017-12-01,IT
118,Nisha,33.0,61000,2019-05-19,Sales
118,Nisha,33.0,61000,2019-05-19,Sales
119,Arjun,36.0,69000,2018-07-07,Marketing
120,Kavya,24.0,48000,2023-03-03,HR
121,Ravi,35.0,,2020-10-10,IT
122,Isha,,53000,2022-09-15,Finance
123,,27.0,50000,,HR
